station_id,year,precip,temperature,precip_days,temperature_days,observed_rows,expected_days,coverage,definition
19996,1991,80.0,26.805479452054794,12,365,365,365,0.03287671232876712,annual
19996,1992,220.0,26.749313186813186,19,364,366,366,0.05191256830601093,annual
19996,1993,4.0,28.07335164835165,2,364,365,365,0.005479452054794521,annual
19996,1994,67.0,27.668975069252078,9,361,365,365,0.024657534246575342,annual
19996,1995,202.0,27.287123287671232,20,365,365,365,0.0547945205479452,annual
19996,1996,117.0,27.177459016393446,12,366,366,366,0.03278688524590164,annual
19996,1997,240.5,27.172602739726027,26,365,365,365,0.07123287671232877,annual
19996,1998,89.0,28.256438356164384,10,365,365,365,0.0273972602739726,annual
19996,1999,32.0,27.23248502994012,5,334,365,365,0.0136986301369863,annual
19996,2000,43.0,27.983606557377048,2,366,366,366,0.00546448087431694,annual
19996,2001,1.0,28.316301369863016,1,365,365,365,0.0027397260273972603,annual
19996,2002,61.0,28.19945205479452,5,365,365,365,0.0136986301369863,annual
19996,2003,107.0,28.394722222222224,10,360,365,365,0.0273972602739726,annual
19996,2004,51.0,28.52636612021858,6,366,366,366,0.01639344262295082,annual
19996,2005,133.5,28.00109589041096,10,365,365,365,0.0273972602739726,annual
19996,2006,130.0,28.516986301369865,12,365,365,365,0.03287671232876712,annual
19996,2007,210.0,28.3172602739726,11,365,365,365,0.030136986301369864,annual
19996,2008,108.0,27.719945355191257,13,366,366,366,0.03551912568306011,annual
19996,2009,111.0,28.5186301369863,8,365,365,365,0.021917808219178082,annual
19996,2010,159.0,28.227945205479454,7,365,365,365,0.019178082191780823,annual
19996,2011,33.0,28.22857142857143,9,364,365,365,0.024657534246575342,annual
19996,2012,84.0,28.005479452054793,4,365,366,366,0.01092896174863388,annual
19996,2013,151.0,27.623287671232877,11,365,365,365,0.030136986301369864,annual
19996,2014,148.0,27.624313186813186,365,364,365,365,0.9972602739726028,annual
19996,2015,57.5,28.77178082191781,365,365,365,365,1.0,annual
19996,2016,44.0,28.283561643835615,365,365,366,366,0.9972677595628415,annual
19996,2017,52.0,28.27150684931507,365,365,365,365,1.0,annual
19996,2018,33.0,28.536263736263738,364,364,365,365,0.9972602739726028,annual
19996,2019,169.1,28.304794520547944,365,365,365,365,1.0,annual
19996,2020,205.0,28.209016393442624,364,366,366,366,0.994535519125683,annual
19996,2021,62.0,29.715302491103202,281,281,365,365,0.7698630136986301,annual
19996,2022,144.5,21.304597701149426,87,87,365,365,0.23835616438356164,annual
19996,2023,59.0,29.70790378006873,291,291,365,365,0.7972602739726027,annual
19996,2024,292.0,30.31086956521739,321,322,366,366,0.8770491803278688,annual
40700,1991,319.92,15.326149425287356,365,348,365,365,0.9534246575342465,annual
40700,1992,301.24,14.480579710144928,366,345,366,366,0.9426229508196722,annual
40700,1993,189.17,14.443543543543543,364,333,365,365,0.9123287671232877,annual
40700,1994,299.56,15.23323353293413,365,334,365,365,0.915068493150685,annual
40700,1995,312.3,16.300588235294118,365,340,365,365,0.9315068493150684,annual
40700,1996,153.09,16.19320987654321,366,324,366,366,0.8852459016393442,annual
40700,1997,258.49,16.0140625,365,320,365,365,0.8767123287671232,annual
40700,1998,187.16,16.797904191616766,365,334,365,365,0.915068493150685,annual
40700,1999,250.51,16.236470588235292,365,340,365,365,0.9315068493150684,annual
40700,2000,266.61,16.081764705882353,366,340,366,366,0.9289617486338798,annual
40700,2001,244.45,16.883582089552238,365,335,365,365,0.9178082191780822,annual
40700,2002,293.15000000000003,16.041867469879517,365,332,365,365,0.9095890410958904,annual
40700,2003,407.55000000000007,15.508049535603716,365,323,365,365,0.8849315068493151,annual
40700,2004,325.89,15.93063063063063,366,333,366,366,0.9098360655737705,annual
40700,2005,201.57999999999998,16.23620178041543,365,337,365,365,0.9232876712328767,annual
40700,2006,207.81,15.557417582417582,365,364,365,365,0.9972602739726028,annual
40700,2007,242.02999999999997,15.443835616438356,365,365,365,365,1.0,annual
40700,2008,226.93,15.275136612021857,366,366,366,366,1.0,annual
40700,2009,334.11,15.358356164383562,365,365,365,365,1.0,annual
40700,2010,339.18,16.46958904109589,365,365,365,365,1.0,annual
40700,2011,355.6,14.867671232876711,365,365,365,365,1.0,annual
40700,2012,310.17,15.871311475409835,366,366,366,366,1.0,annual
40700,2013,318.86,15.772876712328769,365,365,365,365,1.0,annual
40700,2014,220.57,16.085318559556786,365,361,365,365,0.989041095890411,annual
40700,2015,325.55,15.828493150684931,365,365,365,365,1.0,annual
40700,2016,349.75,15.030054644808743,366,366,366,366,1.0,annual
40700,2017,177.14,15.718732782369145,365,363,365,365,0.9945205479452055,annual
40700,2018,260.20000000000005,16.699145299145297,365,351,365,365,0.9616438356164384,annual
40700,2019,211.38,16.173972602739727,365,365,365,365,1.0,annual
40700,2020,242.72,15.932054794520548,366,365,366,366,0.9972677595628415,annual
40700,2021,193.89999999999998,16.258516483516484,365,364,365,365,0.9972602739726028,annual
40700,2022,168.69,16.13068493150685,365,365,365,365,1.0,annual
40700,2023,265.05999999999995,16.82,365,365,365,365,1.0,annual
40700,2024,255.27,16.035890410958906,366,365,366,366,0.9972677595628415,annual
40701,1991,290.97,10.795626822157434,365,343,365,365,0.9397260273972603,annual
40701,1992,284.43,8.721987951807229,366,332,366,366,0.907103825136612,annual
40701,1993,401.78000000000003,9.39435736677116,365,319,365,365,0.873972602739726,annual
40701,1994,360.96,11.300645161290323,365,310,365,365,0.8493150684931506,annual
40701,1995,267.36,12.049523809523809,365,315,365,365,0.863013698630137,annual
40701,1996,235.89,12.187841945288755,366,329,366,366,0.8989071038251366,annual
40701,1997,222.01,11.339156626506023,365,332,365,365,0.9095890410958904,annual
40701,1998,232.49,12.549691358024692,365,324,365,365,0.8876712328767123,annual
40701,1999,271.40999999999997,12.460790273556231,365,329,365,365,0.9013698630136986,annual
40701,2000,185.83999999999997,12.427044025157233,366,318,366,366,0.8688524590163934,annual
40701,2001,219.1,11.707123287671234,365,365,365,365,1.0,annual
40701,2002,293.57,10.717534246575342,365,365,365,365,1.0,annual
40701,2003,430.5400000000001,10.473972602739726,365,365,365,365,1.0,annual
40701,2004,306.90999999999997,10.610928961748634,366,366,366,366,1.0,annual
40701,2005,341.3,10.78986301369863,365,365,365,365,1.0,annual
40701,2006,314.63,11.193150684931506,365,365,365,365,1.0,annual
40701,2007,392.48,10.355068493150684,365,365,365,365,1.0,annual
40701,2008,249.14,10.859289617486338,366,366,366,366,1.0,annual
40701,2009,386.09000000000003,10.894520547945206,365,365,365,365,1.0,annual
40701,2010,348.04,13.002739726027396,365,365,365,365,1.0,annual
40701,2011,418.7,10.11487603305785,365,363,365,365,0.9945205479452055,annual
40701,2012,298.93,11.362568306010928,366,366,366,366,1.0,annual
40701,2013,327.59000000000003,10.974520547945206,365,365,365,365,1.0,annual
40701,2014,282.26,12.03268156424581,365,358,365,365,0.9808219178082191,annual
40701,2015,396.07000000000005,12.324725274725274,365,364,365,365,0.9972602739726028,annual
40701,2016,310.87,11.12513966480447,366,358,366,366,0.9781420765027322,annual
40701,2017,221.49,11.216483516483517,365,364,365,365,0.9972602739726028,annual
40701,2018,449.26,13.312154696132596,365,362,365,365,0.9917808219178083,annual
40701,2019,290.83000000000004,12.396952908587258,365,361,365,365,0.989041095890411,annual
40701,2020,302.17999999999995,11.728688524590163,366,366,366,366,1.0,annual
40701,2021,247.35,12.617857142857142,365,364,365,365,0.9972602739726028,annual
40701,2022,192.68,12.644225352112676,365,355,365,365,0.9726027397260274,annual
40701,2023,269.84,12.778021978021977,364,364,365,365,0.9972602739726028,annual
40701,2024,376.89,12.499723756906077,365,362,366,366,0.9890710382513661,annual
40702,1991,183.14,15.803790087463556,365,343,365,365,0.9397260273972603,annual
40702,1992,195.96999999999997,13.938972809667675,366,331,366,366,0.9043715846994536,annual
40702,1993,249.72999999999996,13.890634441087613,365,331,365,365,0.9068493150684932,annual
40702,1994,273.21999999999997,15.088130563798218,365,337,365,365,0.9232876712328767,annual
40702,1995,157.21,16.293731343283582,365,335,365,365,0.9178082191780822,annual
40702,1996,94.32999999999998,16.569578313253015,366,332,366,366,0.907103825136612,annual
40702,1997,139.71,15.564759036144578,365,332,365,365,0.9095890410958904,annual
40702,1998,132.14000000000001,16.85105105105105,365,333,365,365,0.9123287671232877,annual
40702,1999,221.04000000000002,16.65718475073314,365,341,365,365,0.9342465753424658,annual
40702,2000,129.26999999999998,16.228985507246378,366,345,366,366,0.9426229508196722,annual
40702,2001,155.51999999999998,17.087020648967552,365,339,365,365,0.9287671232876712,annual
40702,2002,219.2,15.15821325648415,365,347,365,365,0.9506849315068493,annual
40702,2003,306.89000000000004,15.206194690265486,365,339,365,365,0.9287671232876712,annual
40702,2004,323.58000000000004,15.73682634730539,366,334,366,366,0.912568306010929,annual
40702,2005,237.32,15.496745562130176,365,338,365,365,0.9260273972602739,annual
40702,2006,200.62,16.031518624641834,365,349,365,365,0.9561643835616438,annual
40702,2007,230.40000000000003,14.478904109589042,365,365,365,365,1.0,annual
40702,2008,178.44,15.838081395348837,366,344,366,366,0.9398907103825137,annual
40702,2009,220.76,15.040833333333333,365,360,365,365,0.9863013698630136,annual
40702,2010,349.14,16.905479452054795,365,365,365,365,1.0,annual
40702,2011,251.98000000000002,15.139106145251397,365,358,365,365,0.9808219178082191,annual
40702,2012,257.45,16.25485714285714,366,350,366,366,0.9562841530054644,annual
40702,2013,223.82999999999998,15.380547945205478,365,365,365,365,1.0,annual
40702,2014,215.99,16.462049861495846,365,361,365,365,0.989041095890411,annual
40702,2015,236.38,16.910481586402266,365,353,365,365,0.9671232876712329,annual
40702,2016,259.38,15.48027397260274,366,365,366,366,0.9972677595628415,annual
40702,2017,204.03,15.347107438016529,365,363,365,365,0.9945205479452055,annual
40702,2018,295.53999999999996,17.485277777777778,365,360,365,365,0.9863013698630136,annual
40702,2019,160.57999999999998,16.67170868347339,365,357,365,365,0.9780821917808219,annual
40702,2020,175.82999999999998,16.425205479452053,366,365,366,366,0.9972677595628415,annual
40702,2021,112.53999999999999,17.064383561643837,365,365,365,365,1.0,annual
40702,2022,103.88,17.02082191780822,365,365,365,365,1.0,annual
40702,2023,199.3,17.462739726027397,365,365,365,365,1.0,annual
40702,2024,217.39,16.69344262295082,366,366,366,366,1.0,annual
40703,1991,302.80999999999995,12.644970414201184,364,338,365,365,0.9260273972602739,annual
40703,1992,223.85,10.867638483965015,366,343,366,366,0.9371584699453552,annual
40703,1993,329.01,11.17530864197531,365,324,365,365,0.8876712328767123,annual
40703,1994,330.03999999999996,12.81360946745562,365,338,365,365,0.9260273972602739,annual
40703,1995,168.39,13.095072463768117,365,345,365,365,0.9452054794520548,annual
40703,1996,196.64,13.581524926686217,366,341,366,366,0.9316939890710383,annual
40703,1997,238.87,12.515868263473054,365,334,365,365,0.915068493150685,annual
