index_name,station_id,station_name,tau,slope,n_years
warm_days,19996,Bahookalat,0.1,-1.3043444359953982,31
warm_days,19996,Bahookalat,0.11,-1.7106871511083022e-05,31
warm_days,19996,Bahookalat,0.12,-4.716624734042057e-07,31
warm_days,19996,Bahookalat,0.13,-3.449851391733052e-07,31
warm_days,19996,Bahookalat,0.14,-1.9965731112687377e-07,31
warm_days,19996,Bahookalat,0.15,-2.0014937838704162e-07,31
warm_days,19996,Bahookalat,0.16,-2.989295711573434e-07,31
warm_days,19996,Bahookalat,0.17,-2.8602659266171585e-07,31
warm_days,19996,Bahookalat,0.18,-4.688450913163755e-07,31
warm_days,19996,Bahookalat,0.19,-8.45971382691018e-07,31
warm_days,19996,Bahookalat,0.2,-1.2595435183940733e-06,31
warm_days,19996,Bahookalat,0.21,-1.9992304070186992e-06,31
warm_days,19996,Bahookalat,0.22,-3.847944461765738e-06,31
warm_days,19996,Bahookalat,0.23,-0.7125183611113974,31
warm_days,19996,Bahookalat,0.24,-0.7142860123536547,31
warm_days,19996,Bahookalat,0.25,-0.7142862244923642,31
warm_days,19996,Bahookalat,0.26,-0.7142873624534326,31
warm_days,19996,Bahookalat,0.27,-1.1999996946482436,31
warm_days,19996,Bahookalat,0.28,-1.1999998424362444,31
warm_days,19996,Bahookalat,0.29,-1.1999993991169944,31
warm_days,19996,Bahookalat,0.3,-1.199998728162362,31
warm_days,19996,Bahookalat,0.31,-1.1999951601892653,31
warm_days,19996,Bahookalat,0.32,-4.878080979245505e-06,31
warm_days,19996,Bahookalat,0.33,-3.008364767135637e-07,31
warm_days,19996,Bahookalat,0.34,3.7880890993694775e-08,31
warm_days,19996,Bahookalat,0.35,1.6933235969421359e-06,31
warm_days,19996,Bahookalat,0.36,3.1755942923562914,31
warm_days,19996,Bahookalat,0.37,3.1818172441458206,31
warm_days,19996,Bahookalat,0.38,3.1818180917363623,31
warm_days,19996,Bahookalat,0.39,3.181818110948281,31
warm_days,19996,Bahookalat,0.4,3.181818020165646,31
warm_days,19996,Bahookalat,0.41,3.1818202736015917,31
warm_days,19996,Bahookalat,0.42,4.615373185329731,31
warm_days,19996,Bahookalat,0.43,4.1667465167806,31
warm_days,19996,Bahookalat,0.44,4.16667625083466,31
warm_days,19996,Bahookalat,0.45,4.166672385531404,31
warm_days,19996,Bahookalat,0.46,4.399996491070631,31
warm_days,19996,Bahookalat,0.47,4.399999901617305,31
warm_days,19996,Bahookalat,0.48,4.399999876922866,31
warm_days,19996,Bahookalat,0.49,4.3999998547447765,31
warm_days,19996,Bahookalat,0.5,4.399999411472645,31
warm_days,19996,Bahookalat,0.51,3.8095281045465548,31
warm_days,19996,Bahookalat,0.52,3.8095265176876505,31
warm_days,19996,Bahookalat,0.53,3.8095466158642965,31
warm_days,19996,Bahookalat,0.54,4.210521953254696,31
warm_days,19996,Bahookalat,0.55,4.210524613638412,31
warm_days,19996,Bahookalat,0.56,3.4615460978025254,31
warm_days,19996,Bahookalat,0.57,3.461539209318992,31
warm_days,19996,Bahookalat,0.58,3.4615387254302905,31
warm_days,19996,Bahookalat,0.59,3.4615397135276327,31
warm_days,19996,Bahookalat,0.6,4.34775864967701,31
warm_days,19996,Bahookalat,0.61,4.347824298664136,31
warm_days,19996,Bahookalat,0.62,4.347825317980591,31
warm_days,19996,Bahookalat,0.63,4.3478236215864445,31
warm_days,19996,Bahookalat,0.64,3.571430385183494,31
warm_days,19996,Bahookalat,0.65,3.5714293193548357,31
warm_days,19996,Bahookalat,0.66,3.5714335375636588,31
warm_days,19996,Bahookalat,0.67,4.99999558551647,31
warm_days,19996,Bahookalat,0.68,4.999998541129602,31
warm_days,19996,Bahookalat,0.69,4.999998863949664,31
warm_days,19996,Bahookalat,0.7,4.837335973054513,31
warm_days,19996,Bahookalat,0.71,4.285717210502636,31
warm_days,19996,Bahookalat,0.72,5.999995103797919,31
warm_days,19996,Bahookalat,0.73,5.999999896274517,31
warm_days,19996,Bahookalat,0.74,6.111106699139623,31
warm_days,19996,Bahookalat,0.75,6.111110065145187,31
warm_days,19996,Bahookalat,0.76,6.111109512075902,31
warm_days,19996,Bahookalat,0.77,-1.9999908772996497,31
warm_days,19996,Bahookalat,0.78,-2.142854401529448,31
warm_days,19996,Bahookalat,0.79,-2.142854944632549,31
warm_days,19996,Bahookalat,0.8,-2.1428550613983095,31
warm_days,19996,Bahookalat,0.81,-1.6666586257603722,31
warm_days,19996,Bahookalat,0.82,3.0768972861496793,31
warm_days,19996,Bahookalat,0.83,3.076915871580779,31
warm_days,19996,Bahookalat,0.84,3.076918736607816,31
warm_days,19996,Bahookalat,0.85,1.5789490000214685,31
warm_days,19996,Bahookalat,0.86,1.5789477340129991,31
warm_days,19996,Bahookalat,0.87,1.578947378291504,31
warm_days,19996,Bahookalat,0.88,1.5789473507932874,31
warm_days,19996,Bahookalat,0.89,1.5789473239128498,31
