path,bytes,sha256,extension,status,details,action,reason
outputs/compound_dry_hot/figures/compound_dry_hot_driver_shift.png,557388,f0352663cbf87e9be8765c373441c8398f694e57367f0dbf8a9e6498b29fae5b,.png,READABLE,"(6909, 3489)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/compound_dry_hot/figures/compound_dry_hot_extent_timeseries.png,1292989,0425e0a609f65ba073e4dcdb2003fcceca3ab8bf6ef984ffbca67c7f3e2b8184,.png,READABLE,"(5769, 4329)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/compound_dry_hot/figures/compound_dry_hot_frequency_change_maps.png,2120405,e974c9aa6ca6db0abdc5f35a8164c5ace6a85617c3046c295b5797c1a11ec321,.png,READABLE,"(7208, 5510)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/compound_dry_hot/figures/compound_dry_hot_moran_connectedness.png,1096275,97dbb519018405b64e785dd1ef01e6d2a2be53602a5c4f50d88a5c7d2a268d9f,.png,READABLE,"(5769, 4209)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/compound_dry_hot/figures/compound_dry_hot_station_frequency_maps.png,2113256,a4e06cd4d67a96770fc04d23ff1d286470efceb1f4db22002b8c723a42f5b730,.png,READABLE,"(7208, 5527)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_climate_change_signal/climate_fingerprint_score.png,477557,bdf5c25598d89667c9693dd3f9038c17597681f447c09055c4be54717fef5811,.png,READABLE,"(7929, 3129)",REMOVE,Composite attribution interpretation unsupported; excluded with its numerical score tables.
outputs/figures/advanced_climate_change_signal/climate_signal_emergence_q50_maps.png,2418540,c92c89f9aa5b561bcd6a39845882e2fbc981f854e7b1cbe0c886817fccfce8c4,.png,READABLE,"(7386, 5571)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_climate_change_signal/fixed_baseline_period_change_summary.png,282153,f8368d9b0943f15a52d3e79735054b201f274eb467a7a2bc49a5116a25e4238a,.png,READABLE,"(4929, 2889)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_climate_change_signal/warming_link_network_quantile_response.png,616205,33a61528bb69313f92cfef3dc0f9c9906217dd32033e70d4f74a575c33ecc11b,.png,READABLE,"(7089, 5289)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_climate_regimes/climate_regime_fingerprint_scores.png,381134,1d5d89d3b22c36755d714db90ff0d7b1f49e57bcdccfdad9a0abe3bf37d714d8,.png,READABLE,"(3419, 3489)",REMOVE,Composite attribution interpretation unsupported; excluded with its numerical score tables.
outputs/figures/advanced_climate_regimes/climate_regime_fixed_baseline_shifts.png,505861,3b3bc41452d4e54e1277a332c2fa18a270ad86d54febc954d5e9c425f9b98569,.png,READABLE,"(8169, 5289)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_climate_regimes/climate_regime_quantile_profiles.png,1148069,266a696ae402dcab25e3e4181f7d3ec0eea1542ea267b92c4cd8f6141832c7fe,.png,READABLE,"(8168, 5289)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_climate_regimes/koppen_geiger_station_regimes.png,796136,b626e23f35f46bc74af4050110ff742fddea11b36eda9d483f76315eb545ccae,.png,READABLE,"(4929, 3747)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_driver_analysis/driver_effects_delta1_heatmap.png,249181,12ea59f4c5ef553e012104ce2e6db2d3409a85ebe8300fc9568ca29758bfd596,.png,READABLE,"(4679, 3489)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_driver_analysis/driver_scatter_cool_days.png,859359,faa7f8a4a230ef1d141fabe4ae37bcdf4ab22de0532ee83a57cdfa4725aee166,.png,READABLE,"(9009, 2589)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_driver_analysis/driver_scatter_cool_nights.png,793998,f31bc71c63fe7740a8ca906344f74d336fbfbce698d9d0e876d7e726c0c2f8c6,.png,READABLE,"(9009, 2589)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_driver_analysis/driver_scatter_warm_days.png,842006,d7c9b8537617274e7fb7e5aa42c30247e6ecf3951e0d5cf35721144b7f303c52,.png,READABLE,"(9009, 2589)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_driver_analysis/driver_scatter_warm_nights.png,832196,dc960d17bc48ba1a0433d9b683264a743066fd88212492511b103635e04874e5,.png,READABLE,"(9009, 2589)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_method_sensitivity/bootstrap_method_sensitivity.png,634224,216297ad932139970ca6a9f0ac6502a5e7e44d82cc7e9595d0d2490aa0a07477,.png,READABLE,"(6609, 3609)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_method_sensitivity/interpolation_sensitivity_tau_0.10.png,5352968,b05dc42c2d57fe653af26730f66f98fb70dcc9fadd0976b8766bf49def5f250a,.png,READABLE,"(9008, 9130)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_method_sensitivity/interpolation_sensitivity_tau_0.90.png,6861877,8081afa61e592ad9be3daff9a28fd8c400da5ed44d84ae8903ebe2d09bf6dc1f,.png,READABLE,"(9008, 9130)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_regionalization/cluster_composite_heatmap_cool_days.png,232612,0c57cbc96aee1e042d576aea5132410b718985133e7770da7c3fe2ff73b0893f,.png,READABLE,"(4678, 3489)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_regionalization/cluster_composite_heatmap_cool_nights.png,219952,5aed3d43ece7db4485edf236eb99277f7b2dddb3f29e4585881a772f4a5921a1,.png,READABLE,"(4678, 3489)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_regionalization/cluster_composite_heatmap_warm_days.png,228574,d39e9513dc629d0195c2aea8eec429c445df875ac58cc8d374256de1e1301144,.png,READABLE,"(4678, 3489)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_regionalization/cluster_composite_heatmap_warm_nights.png,214407,9df67e26f3e1f3bdd328c48ceeba35d16e56b4be6133d0b611fa2221c6fa5d44,.png,READABLE,"(4678, 3489)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_regionalization/cluster_delta1_boxplot_cool_days.png,169967,c27aea9c7f70001bbea7a547d6c44a3e04d1ed6c78b17f7d8093ef8719bd0700,.png,READABLE,"(5109, 3129)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_regionalization/cluster_delta1_boxplot_cool_nights.png,164579,0a812a2f6dec3ba7523f3864371811343754dac01761d1d280fce41febb676f9,.png,READABLE,"(5109, 3129)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_regionalization/cluster_delta1_boxplot_warm_days.png,157603,c76f3c5401b375d36561f6d5ac2437ad8bedccf46264ce650cb1076ac46cc0ed,.png,READABLE,"(5109, 3129)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_regionalization/cluster_delta1_boxplot_warm_nights.png,170856,b54f552055c3e5199b290905c20262b700a51b5e9637ed908edffea879e1982d,.png,READABLE,"(5109, 3129)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_regionalization/cluster_spatial_validation.png,329026,fb51d10a159550504d3008c9779c3228384b0b86a803e33d4c457a6b33abc84d,.png,READABLE,"(5289, 2889)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_spatial_inference/moran_i_heatmap.png,231947,302093426a1a83f365c4c7b002d37352f134d4e9e8ef05b2b99dc2a4f6c2a9d6,.png,READABLE,"(4679, 3489)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/advanced_spatial_inference/raw_vs_fdr_counts.png,293184,e73c54beb52b478e67cf0a68c093bf6f0577470fbe10878570b9be849218b910,.png,READABLE,"(8400, 3309)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
"outputs/figures/ChatGPT Image May 12, 2026, 07_26_31 PM.png",1890696,cbba4b0ea680f73e90ef972eb3b5e596640f4b1c26aea9d612cf13364b5d585e,.png,READABLE,"(1536, 1024)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/data_coverage_by_station.png,1082362,897718e6fcaabca6e5a86489febe8c04b682ec3780dca82a6710299cd482e826,.png,READABLE,"(5877, 4679)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/delta_uncertainty_cool_days.png,1918082,013d36943fc6e3635029dc2dcf84941fbc2c2429ec4561b1ba3b3f296a4db7c9,.png,READABLE,"(5277, 20708)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/delta_uncertainty_cool_nights.png,1912315,2fa06d1a2351fb3dfe96d45ecb59916d55c633610235076fe7a5979f60a3e2a2,.png,READABLE,"(5277, 20708)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/delta_uncertainty_warm_days.png,1907856,085f1b067b41802960d301df3baac06e7b08090c7389818093128413363680e9,.png,READABLE,"(5277, 20708)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/delta_uncertainty_warm_nights.png,1914790,81a3f83c5f46cf1d6df075aec3beb5432078094340e2cf4e349a90e7467c3fc1,.png,READABLE,"(5277, 20708)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/dendrogram_cool_days.png,940664,8fc5f957d50d1ea3070eeea06b80beef84669d86da1b5b84b216ee36c83555d2,.png,READABLE,"(5873, 3478)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
outputs/figures/dendrogram_cool_nights.png,935086,995dd3610ccee252923f03f4960b8851eba225e71df2451badb47c0f00655ad0,.png,READABLE,"(5873, 3478)",REMOVE,Legacy graphic replaced by curated main/supplementary panels; numerical evidence retained.
